2017-04-17,2649
2017-04-19,3618
2017-04-21,3135
2017-04-23,2744
2017-04-25,2775
2017-04-27,3416
2017-04-29,3463
2017-05-01,3750
2017-05-03,4200
2017-05-05,4722
2017-05-07,4432
2017-05-09,4194
2017-05-11,5608
2017-05-13,5214
2017-05-15,3865
2017-05-17,4953
2017-05-19,5717
2017-05-21,5390
2017-05-23,6641
2017-05-25,7555
2017-05-27,8042
2017-05-29,5013
2017-05-31,6128
2017-06-02,6202
2017-06-04,4602
2017-06-06,4943
2017-06-08,6635
2017-06-10,5511
2017-06-12,5008
2017-06-14,6904
2017-06-16,7025
2017-06-18,5422
2017-06-20,5144
2017-06-22,6183
2017-06-24,5604
2017-06-26,3940
2017-06-28,5100
2017-06-30,4812
2017-07-02,4128
2017-07-04,4141
2017-07-06,4292
2017-07-08,4790
2017-07-10,3733
2017-07-12,4738
2017-07-14,5244
2017-07-16,5104
2017-07-18,5162
2017-07-20,5675
2017-07-22,6012
2017-07-24,5027
2017-07-26,6127
2017-07-28,6215
2017-07-30,6308
2017-08-01,5781
2017-08-03,10830
2017-08-05,9466
2017-08-07,8389
2017-08-09,8464
2017-08-11,7811
2017-08-13,8263
2017-08-15,9370
2017-08-17,9266
2017-08-19,9498
2017-08-21,8626
2017-08-23,9366
2017-08-25,9241
2017-08-27,9441
2017-08-29,7318
2017-08-31,8223
2017-09-02,8589
2017-09-04,6781
2017-09-06,7945
2017-09-08,7303
2017-09-10,6800
2017-09-12,6601
2017-09-14,9345
2017-09-16,10216
2017-09-18,6582
2017-09-20,8065
2017-09-22,8552
2017-09-24,6368
2017-09-26,6785
2017-09-28,8046
2017-09-30,7870
2017-10-02,6665
2017-10-04,7629
2017-10-06,7321
2017-10-08,7369
2017-10-10,8402
2017-10-12,8305
2017-10-14,12436
2017-10-16,8327
2017-10-18,9236
2017-10-20,8935
2017-10-22,10456
2017-10-24,10549
2017-10-26,11025
2017-10-28,10554
2017-10-30,8436
2017-11-01,10934
2017-11-03,14552
2017-11-05,12719
2017-11-07,11898
2017-11-09,13321
2017-11-11,15556
2017-11-13,18576
2017-11-15,17455
2017-11-17,17098
2017-11-19,13427
2017-11-21,13794
2017-11-23,14937
2017-11-25,13010
2017-11-27,20438
2017-11-29,22676
2017-12-01,28525
2017-12-03,20687
2017-12-05,18453
2017-12-07,24212
2017-12-09,38632
2017-12-11,25312
2017-12-13,27670
2017-12-15,21469
2017-12-17,17266
2017-12-19,19837
2017-12-21,30326
2017-12-23,32239
2017-12-25,21561
2017-12-27,17525
2017-12-29,18184
2017-12-31,16814
2018-01-01,16021
2018-01-03,12739
2018-01-05,14962
2018-01-07,14201
2018-01-09,17550
2018-01-11,17449
2018-01-13,15314
2018-01-15,11344
2018-01-17,15878
2018-01-19,19964
2018-01-21,13084
2018-01-23,13224
2018-01-25,12991
2018-01-27,12453
2018-01-29,10069
2018-01-31,12054
2018-02-02,15104
2018-02-04,15150
2018-02-06,15599
2018-02-08,16032
2018-02-10,11509
2018-02-12,8194
2018-02-14,10339
2018-02-16,9994
2018-02-18,7950
2018-02-20,8404
2018-02-22,9400
2018-02-24,7878
2018-02-26,7196
2018-02-28,8627
2018-03-02,8672
2018-03-04,7120
2018-03-06,6702
2018-03-08,8383
2018-03-10,9563
2018-03-12,6840
2018-03-14,7816
2018-03-16,9359
2018-03-18,7244
2018-03-20,7064
2018-03-22,8550
2018-03-24,6978
2018-03-26,5203
2018-03-28,7101
2018-03-30,7445
2018-04-01,7666
2018-04-03,6223
2018-04-05,7308
2018-04-07,7254
2018-04-09,5618
2018-04-11,6956
2018-04-13,6781
2018-04-15,5784
2018-04-17,5414
2018-04-19,6333
2018-04-21,6369
2018-04-23,4968
2018-04-25,7779
2018-04-27,7448
2018-04-29,7569
2018-05-01,6165
2018-05-03,6951
2018-05-05,6503
2018-05-07,6658
2018-05-09,7184
2018-05-11,6262
2018-05-13,5680
2018-05-15,5845
2018-05-17,5693
2018-05-19,7414
2018-05-21,4583
2018-05-23,5824
2018-05-25,6751
2018-05-27,4967
2018-05-29,6241
2018-05-31,6014
2018-06-02,5334
2018-06-04,4502
2018-06-06,5038
2018-06-08,5187
2018-06-10,4591
2018-06-12,6036
2018-06-14,7522
2018-06-16,5520
2018-06-18,4015
2018-06-20,5530
2018-06-22,4867
2018-06-24,5160
2018-06-26,5675
2018-06-28,5277
2018-06-30,6142
2018-07-02,4019
2018-07-04,5644
2018-07-06,4289
2018-07-08,4136
2018-07-10,4605
2018-07-12,4639
2018-07-14,4796
2018-07-16,3898
2018-07-18,4560
2018-07-20,4780
2018-07-22,4117
2018-07-24,4556
2018-07-26,6221
2018-07-28,5234
2018-07-30,4042
2018-08-01,5132
2018-08-03,4751
2018-08-05,4820
2018-08-07,4061
2018-08-09,5783
2018-08-11,6040
2018-08-13,4510
2018-08-15,6628
2018-08-17,5328
2018-08-19,4382
2018-08-21,3863
2018-08-23,5171
2018-08-25,4866
2018-08-27,4102
2018-08-29,5111
2018-08-31,4881
2018-09-02,4169
2018-09-04,3922
